Garment,Fabric_Type,Fabric_m,Price_per_m,Material_Cost_ZAR,Total_Cost_ZAR
Skirt,Denim,2.5,105,262.5,314.77
Skirt,Polyester,2.3,58,133.4,136.81
Trousers,Linen,2.4,125,300.0,245.55
Trousers,Silk,2.6,160,416.0,536.35
Trousers,Polyester,2.1,62,130.2,236.9
Jacket,Cotton,3.1,85,263.5,322.89
Jacket,Linen,3.4,135,459.0,519.3
Jacket,Polyester,3.0,70,210.0,202.19
Jacket,Silk,3.6,180,648.0,727.25
Blouse,Linen,1.7,125,212.5,221.64
Blouse,Wool,1.9,195,370.5,390.95
Blouse,Denim,1.6,100,160.0,170.83
Blouse,Polyester,1.4,55,77.0,171.49
Dress,Cotton,3.2,88,281.6,532.95
Dress,Silk,3.4,155,527.0,587.18
Dress,Linen,3.3,125,412.5,546.94
Dress,Wool,3.6,220,792.0,871.38
Shirt,Cotton,1.9,82,155.8,60.99
Shirt,Linen,2.2,125,275.0,295.0
Shirt,Silk,2.0,165,330.0,361.55
Shirt,Wool,2.3,200,460.0,688.9
Suit,Cotton,4.4,95,418.0,437.48
Suit,Linen,4.7,140,658.0,742.76
Suit,Silk,5.0,175,875.0,922.38
Suit,Denim,4.5,115,517.5,521.3
Skirt,Cotton,2.6,88,228.8,379.05
Skirt,Silk,3.0,160,480.0,621.75
Skirt,Linen,2.8,128,358.4,445.1
Skirt,Wool,2.9,210,609.0,630.37
Trousers,Cotton,2.2,88,193.6,375.47
Trousers,Denim,2.4,108,259.2,252.41
Trousers,Linen,2.5,130,325.0,487.29
Trousers,Silk,2.7,168,453.6,667.91
Jacket,Cotton,3.2,90,288.0,306.25
Jacket,Denim,3.3,118,389.4,383.66
Jacket,Linen,3.5,140,490.0,585.52
Jacket,Leather,3.9,275,1072.5,1146.5
Blouse,Cotton,1.6,88,140.8,81.77
Blouse,Silk,2.0,170,340.0,424.17
Blouse,Linen,1.8,130,234.0,270.83
Blouse,Wool,2.0,205,410.0,507.74
Dress,Cotton,2.9,85,246.5,241.11
Dress,Silk,3.1,160,496.0,654.97
Dress,Polyester,2.8,68,190.4,219.29
Dress,Denim,3.2,110,352.0,440.69
Shirt,Cotton,1.7,80,136.0,222.39
Shirt,Polyester,1.8,62,111.6,93.71
Shirt,Linen,2.0,128,256.0,296.17
Shirt,Silk,2.1,170,357.0,567.65
Suit,Cotton,4.1,92,377.2,297.89
Suit,Polyester,4.0,118,472.0,510.93
Suit,Linen,4.5,138,621.0,691.61
Suit,Wool,5.1,245,1249.5,1345.5
Skirt,Cotton,2.4,82,196.8,137.45
Skirt,Polyester,2.2,55,121.0,80.35
Skirt,Silk,2.9,162,469.8,624.19
Skirt,Linen,2.7,132,356.4,470.81
Trousers,Cotton,2.0,82,164.0,275.9
Trousers,Polyester,1.9,58,110.2,239.35
Trousers,Denim,2.3,112,257.6,231.28
Trousers,Wool,2.7,225,607.5,707.03
Jacket,Cotton,3.0,88,264.0,372.12
Jacket,Polyester,2.9,72,208.8,184.89
Jacket,Linen,3.3,145,478.5,681.31
Jacket,Wool,3.4,225,765.0,836.76
Blouse,Cotton,1.5,82,123.0,148.09
Blouse,Polyester,1.3,52,67.6,140.15
Blouse,Silk,1.9,172,326.8,335.24
Blouse,Linen,1.7,135,229.5,375.9
Dress,Cotton,3.1,92,285.2,472.64
Dress,Silk,3.3,165,544.5,542.56
Dress,Linen,3.4,135,459.0,633.7
Dress,Wool,3.7,230,851.0,906.15
Shirt,Cotton,1.6,85,136.0,249.04
Shirt,Linen,2.1,135,283.5,531.65
Shirt,Silk,2.2,175,385.0,455.48
Shirt,Wool,2.4,210,504.0,501.12
Suit,Cotton,4.3,100,430.0,403.87
Suit,Polyester,4.1,125,512.5,534.93
Suit,Linen,4.6,145,667.0,764.18
Suit,Silk,5.2,180,936.0,1002.75
Skirt,Cotton,2.5,90,225.0,275.88
Skirt,Polyester,2.4,60,144.0,302.43
Skirt,Silk,3.0,168,504.0,526.98
Skirt,Wool,2.8,215,602.0,739.7
Trousers,Cotton,2.1,90,189.0,248.03
Trousers,Denim,2.4,115,276.0,576.29
Trousers,Linen,2.6,140,364.0,517.22
Trousers,Silk,2.8,175,490.0,458.31
Jacket,Cotton,3.1,95,294.5,329.68
Jacket,Denim,3.2,120,384.0,457.41
Jacket,Linen,3.6,150,540.0,615.14
Jacket,Leather,3.8,285,1083.0,1178.88
Blouse,Cotton,1.4,85,119.0,247.71
Blouse,Silk,1.8,175,315.0,411.5
Blouse,Linen,1.6,140,224.0,226.09
Blouse,Wool,1.9,210,399.0,372.68
Dress,Cotton,3.0,95,285.0,317.3
Dress,Silk,3.2,170,544.0,714.63
Dress,Polyester,2.7,72,194.4,259.56
Dress,Denim,3.1,115,356.5,306.49
Shirt,Cotton,1.5,90,135.0,195.07
Shirt,Polyester,1.7,65,110.5,256.58
Shirt,Linen,1.9,140,266.0,243.3
Shirt,Silk,2.0,180,360.0,464.6
Suit,Cotton,4.0,98,392.0,493.39
Suit,Polyester,3.9,122,475.8,466.54
Suit,Linen,4.4,148,651.2,791.2
Suit,Wool,5.0,255,1275.0,1377.32
Skirt,Cotton,2.3,88,202.4,328.14
Skirt,Polyester,2.1,58,121.8,298.33
Skirt,Silk,2.8,165,462.0,476.03
Skirt,Denim,2.6,110,286.0,282.22
Trousers,Cotton,1.9,85,161.5,317.37
Trousers,Denim,2.2,118,259.6,327.37
Trousers,Linen,2.4,145,348.0,504.87
Trousers,Wool,2.5,230,575.0,959.76
Jacket,Cotton,2.9,92,266.8,339.88
Jacket,Polyester,2.8,75,210.0,399.7
Jacket,Linen,3.2,148,473.6,585.6
Jacket,Wool,3.3,228,752.4,906.56
Blouse,Cotton,1.3,88,114.4,154.61
Blouse,Polyester,1.2,55,66.0,149.28
Blouse,Silk,1.7,178,302.6,344.28
Blouse,Denim,1.5,105,157.5,222.63
Dress,Cotton,2.8,98,274.4,320.77
Dress,Silk,3.0,175,525.0,552.18
Dress,Linen,3.1,145,449.5,719.18
Dress,Wool,3.4,240,816.0,736.08
Shirt,Cotton,1.4,92,128.8,281.59
Shirt,Linen,1.8,148,266.4,217.69
Shirt,Silk,1.9,185,351.5,409.88
Shirt,Wool,2.1,220,462.0,579.18
Suit,Cotton,4.2,105,441.0,482.85
Suit,Polyester,4.0,128,512.0,548.66
Suit,Linen,4.5,152,684.0,708.02
Suit,Silk,4.9,185,906.5,1066.79
Skirt,Cotton,2.4,95,228.0,207.88
Skirt,Polyester,2.2,62,136.4,177.74
Skirt,Silk,2.7,172,464.4,543.84
Skirt,Linen,2.5,142,355.0,371.83
Trousers,Cotton,2.0,95,190.0,418.8
Trousers,Denim,2.3,120,276.0,384.84
Trousers,Linen,2.4,150,360.0,302.17
Trousers,Silk,2.6,182,473.2,566.27
Jacket,Cotton,3.0,100,300.0,346.06
Jacket,Denim,3.1,125,387.5,474.83
Jacket,Linen,3.4,155,527.0,488.19
Jacket,Leather,3.7,290,1073.0,1173.34
Blouse,Cotton,1.4,92,128.8,244.91
Blouse,Silk,1.7,182,309.4,420.74
Blouse,Linen,1.5,148,222.0,177.42
Blouse,Wool,1.8,218,392.4,465.16
Dress,Cotton,2.9,102,295.8,350.96
Dress,Silk,3.1,178,551.8,528.49
Dress,Polyester,2.6,75,195.0,410.23
Dress,Denim,3.0,122,366.0,461.56
Shirt,Cotton,1.4,95,133.0,119.84
Shirt,Polyester,1.6,68,108.8,209.07
Shirt,Linen,1.8,152,273.6,465.75
Shirt,Silk,1.9,190,361.0,500.92
Suit,Cotton,4.1,108,442.8,364.14
Suit,Polyester,3.9,130,507.0,552.46
Suit,Linen,4.4,155,682.0,877.61
Suit,Wool,4.8,260,1248.0,1249.59
Skirt,Cotton,2.3,98,225.4,362.89
Skirt,Polyester,2.0,65,130.0,215.46
Skirt,Silk,2.6,175,455.0,473.05
Skirt,Denim,2.5,115,287.5,392.01
Trousers,Cotton,1.9,98,186.2,50.0
Trousers,Denim,2.2,125,275.0,252.69
Trousers,Linen,2.3,155,356.5,384.44
Trousers,Wool,2.4,240,576.0,593.83
Jacket,Cotton,2.9,105,304.5,493.69
Jacket,Polyester,2.7,78,210.6,197.67
Jacket,Linen,3.1,158,489.8,505.59
Jacket,Wool,3.2,235,752.0,803.87
Blouse,Cotton,1.3,95,123.5,267.27
Blouse,Polyester,1.2,58,69.6,50.0
Blouse,Silk,1.6,185,296.0,476.78
Blouse,Denim,1.4,110,154.0,244.77
Dress,Cotton,2.8,105,294.0,290.93
Dress,Silk,3.0,185,555.0,645.87
Dress,Linen,3.1,150,465.0,528.02
Dress,Wool,3.3,248,818.4,859.1
Shirt,Cotton,1.4,98,137.2,176.47
Shirt,Linen,1.7,155,263.5,353.42
Shirt,Silk,1.8,195,351.0,425.57
Shirt,Wool,2.0,230,460.0,574.97
Suit,Cotton,4.0,110,440.0,630.69
Suit,Polyester,3.8,135,513.0,457.58
Suit,Linen,4.3,160,688.0,944.98
Suit,Silk,4.7,190,893.0,785.68
Skirt,Cotton,2.2,102,224.4,295.95
Skirt,Polyester,2.0,68,136.0,236.4
Skirt,Silk,2.5,180,450.0,517.21
Skirt,Linen,2.4,148,355.2,382.21
Trousers,Cotton,1.8,102,183.6,215.89
Trousers,Denim,2.1,128,268.8,270.59
Trousers,Linen,2.2,160,352.0,351.52
Trousers,Silk,2.4,188,451.2,604.32
Jacket,Cotton,2.8,108,302.4,411.34
Jacket,Denim,3.0,130,390.0,392.71
Jacket,Linen,3.2,162,518.4,607.29
Jacket,Leather,3.5,295,1032.5,1096.69
Blouse,Cotton,1.2,100,120.0,296.34
Blouse,Silk,1.5,190,285.0,367.52
Blouse,Linen,1.4,155,217.0,191.44
Blouse,Wool,1.7,225,382.5,428.22
Dress,Cotton,2.7,78,210.6,340.0
Dress,Cotton,3.8,98,372.4,537.46
Dress,Cotton,4.0,105,420.0,467.42
Dress,Denim,2.9,108,313.2,386.05
Dress,Denim,3.1,112,347.2,481.62
Dress,Denim,4.0,125,500.0,561.36
Dress,Nylon,2.6,65,169.0,263.29
Dress,Nylon,3.3,78,257.4,274.14
Dress,Nylon,3.5,80,280.0,325.57
Dress,Polyester,2.7,60,162.0,325.92
Dress,Polyester,3.6,72,259.2,433.49
Dress,Polyester,3.8,75,285.0,465.39
Dress,Silk,2.8,148,414.4,553.92
Dress,Silk,3.8,185,703.0,775.59
Dress,Silk,4.0,190,760.0,882.47
Dress,Wool,3.0,200,600.0,631.58
Dress,Wool,3.8,230,874.0,990.46
Dress,Wool,4.0,240,960.0,988.18
Shirt,Cotton,1.5,72,108.0,172.32
Shirt,Cotton,2.2,88,193.6,327.52
Shirt,Cotton,2.4,92,220.8,257.05
Shirt,Denim,1.9,100,190.0,423.91
Shirt,Denim,2.4,112,268.8,231.88
Shirt,Denim,2.6,115,299.0,235.37
Shirt,Nylon,1.5,55,82.5,220.9
Shirt,Nylon,2.0,65,130.0,212.75
Shirt,Nylon,2.2,68,149.6,265.7
Shirt,Polyester,1.6,55,88.0,236.42
Shirt,Polyester,2.3,65,149.5,172.58
Shirt,Polyester,2.5,68,170.0,141.29
Shirt,Silk,1.7,155,263.5,375.22
Shirt,Silk,2.2,170,374.0,416.9
Shirt,Silk,2.4,175,420.0,549.59
Shirt,Wool,1.8,190,342.0,371.9
Shirt,Wool,2.5,210,525.0,539.7
Shirt,Wool,2.6,215,559.0,621.75
Suit,Cotton,3.8,85,323.0,466.16
Suit,Cotton,4.7,105,493.5,513.96
Suit,Cotton,5.0,110,550.0,540.95
Suit,Denim,4.0,108,432.0,546.39
Suit,Denim,4.9,120,588.0,667.49
Suit,Denim,5.2,125,650.0,639.74
Suit,Nylon,3.7,70,259.0,337.45
Suit,Nylon,4.4,80,352.0,395.51
Suit,Nylon,4.6,82,377.2,354.92
Suit,Polyester,3.6,65,234.0,165.78
Suit,Polyester,4.5,75,337.5,396.28
Suit,Polyester,4.7,78,366.6,400.49
Suit,Silk,4.3,168,722.4,799.86
Suit,Silk,5.1,185,943.5,1130.84
Suit,Silk,5.3,190,1007.0,1175.73
Suit,Wool,4.2,205,861.0,928.93
Suit,Wool,5.2,230,1196.0,1244.56
Suit,Wool,5.6,240,1344.0,1370.34
Skirt,Cotton,2.0,75,150.0,262.6
Skirt,Cotton,2.9,92,266.8,317.02
Skirt,Cotton,3.0,95,285.0,360.35
Skirt,Denim,2.2,100,220.0,242.57
Skirt,Denim,2.9,112,324.8,441.99
Skirt,Denim,3.1,115,356.5,501.17
Skirt,Nylon,1.9,60,114.0,126.79
Skirt,Nylon,2.5,68,170.0,285.32
Skirt,Nylon,2.7,70,189.0,320.08
Skirt,Polyester,1.8,55,99.0,175.72
Skirt,Polyester,2.6,65,169.0,221.91
Skirt,Polyester,2.8,68,190.4,306.35
Skirt,Silk,2.3,150,345.0,387.37
Skirt,Silk,3.2,170,544.0,520.66
Skirt,Silk,3.3,172,567.6,634.45
Skirt,Wool,2.2,195,429.0,524.58
Skirt,Wool,3.0,215,645.0,804.51
Skirt,Wool,3.1,218,675.8,855.19
Trousers,Cotton,1.7,78,132.6,315.1
Trousers,Cotton,2.5,92,230.0,202.09
Trousers,Cotton,2.6,95,247.0,416.83
Trousers,Denim,1.8,100,180.0,216.84
Trousers,Denim,2.6,112,291.2,546.46
Trousers,Denim,2.8,115,322.0,306.0
Trousers,Nylon,1.7,60,102.0,107.63
Trousers,Nylon,2.3,68,156.4,142.17
Trousers,Nylon,2.5,70,175.0,128.71
Trousers,Polyester,1.8,55,99.0,159.32
Trousers,Polyester,2.4,65,156.0,214.71
Trousers,Polyester,2.6,68,176.8,282.15
Trousers,Silk,2.1,155,325.5,462.29
Trousers,Silk,2.9,172,498.8,755.39
Trousers,Silk,3.0,175,525.0,680.73
Trousers,Wool,2.0,195,390.0,412.46
Trousers,Wool,2.9,218,632.2,675.4
Trousers,Wool,3.0,220,660.0,769.12
Jacket,Cotton,2.6,80,208.0,198.36
Jacket,Cotton,3.6,95,342.0,501.22
Jacket,Cotton,3.8,100,380.0,512.01
Jacket,Denim,2.8,105,294.0,281.59
Jacket,Denim,3.7,118,436.6,345.31
Jacket,Denim,3.9,120,468.0,615.17
Jacket,Nylon,2.5,68,170.0,255.36
Jacket,Nylon,3.3,78,257.4,409.82
Jacket,Nylon,3.5,80,280.0,228.67
Jacket,Polyester,2.6,65,169.0,185.77
Jacket,Polyester,3.4,75,255.0,349.4
Jacket,Polyester,3.6,78,280.8,370.35
Jacket,Silk,3.0,165,495.0,492.03
Jacket,Silk,3.9,180,702.0,835.01
Jacket,Silk,4.0,185,740.0,705.43
Jacket,Wool,2.9,205,594.5,656.75
Jacket,Wool,3.7,225,832.5,926.58
Jacket,Wool,3.9,230,897.0,1003.82
Blouse,Cotton,1.2,72,86.4,175.1
Blouse,Cotton,1.9,88,167.2,103.33
Blouse,Cotton,2.1,92,193.2,156.42
Blouse,Denim,1.4,98,137.2,306.62
Blouse,Denim,2.0,108,216.0,290.08
Blouse,Denim,2.2,112,246.4,292.91
Blouse,Nylon,1.1,55,60.5,234.56
Blouse,Nylon,1.6,62,99.2,154.93
Blouse,Nylon,1.8,65,117.0,250.0
Blouse,Polyester,1.2,52,62.4,182.5
Blouse,Polyester,1.7,60,102.0,286.52
Blouse,Polyester,1.9,62,117.8,329.27
Blouse,Silk,1.3,150,195.0,237.21
Blouse,Silk,2.0,168,336.0,468.32
Blouse,Silk,2.2,172,378.4,543.11
Blouse,Wool,1.5,190,285.0,484.29
Blouse,Wool,2.0,200,400.0,388.18
Blouse,Wool,2.2,205,451.0,568.77
Hoodie,Cotton,2.0,80,160.0,295.88
Hoodie,Cotton,2.6,90,234.0,200.27
Hoodie,Cotton,2.8,92,257.6,209.3
Hoodie,Denim,2.2,105,231.0,153.1
Hoodie,Denim,2.7,112,302.4,385.07
Hoodie,Denim,2.9,115,333.5,433.65
Hoodie,Nylon,1.9,65,123.5,296.88
Hoodie,Nylon,2.4,70,168.0,272.59
Hoodie,Nylon,2.6,72,187.2,363.11
Hoodie,Polyester,2.0,60,120.0,66.85
Hoodie,Polyester,2.5,65,162.5,142.95
Hoodie,Polyester,2.7,68,183.6,287.41
Hoodie,Silk,2.3,158,363.4,477.38
Hoodie,Silk,2.8,168,470.4,498.93
Hoodie,Silk,3.0,172,516.0,418.97
Hoodie,Wool,2.4,205,492.0,577.27
Hoodie,Wool,2.9,218,632.2,628.75
Hoodie,Wool,3.1,220,682.0,841.54
Coat,Cotton,3.2,88,281.6,401.27
Coat,Cotton,3.8,95,361.0,319.07
Coat,Cotton,4.2,100,420.0,496.22
Coat,Denim,3.5,110,385.0,422.06
Coat,Denim,4.0,115,460.0,522.27
Coat,Denim,4.3,120,516.0,627.08
Coat,Nylon,3.0,70,210.0,193.61
Coat,Nylon,3.6,75,270.0,387.04
Coat,Nylon,3.8,78,296.4,341.38
Coat,Polyester,3.1,65,201.5,225.66
Coat,Polyester,3.7,70,259.0,320.92
Coat,Polyester,3.9,72,280.8,257.67
Coat,Silk,3.6,170,612.0,613.22
Coat,Silk,4.2,180,756.0,711.6
Coat,Silk,4.4,185,814.0,983.27
Coat,Wool,3.4,210,714.0,766.66
Coat,Wool,4.0,220,880.0,903.19
Coat,Wool,4.3,230,989.0,1102.15
Jersey,Cotton,1.6,75,120.0,196.52
Jersey,Cotton,2.2,85,187.0,218.32
Jersey,Cotton,2.4,88,211.2,291.55
Jersey,Denim,1.8,100,180.0,268.17
Jersey,Denim,2.3,108,248.4,255.36
Jersey,Denim,2.5,110,275.0,334.54
Jersey,Nylon,1.5,58,87.0,109.24
Jersey,Nylon,2.0,65,130.0,50.0
Jersey,Nylon,2.2,68,149.6,64.25
Jersey,Polyester,1.6,55,88.0,288.15
Jersey,Polyester,2.1,60,126.0,287.14
Jersey,Polyester,2.3,62,142.6,230.81
Jersey,Silk,1.7,155,263.5,340.01
Jersey,Silk,2.2,168,369.6,446.09
Jersey,Silk,2.4,172,412.8,722.16
Jersey,Wool,1.9,195,370.5,549.99
Jersey,Wool,2.4,210,504.0,535.35
Jersey,Wool,2.6,215,559.0,575.89
Shorts,Cotton,1.3,75,97.5,50.0
Shorts,Cotton,1.8,82,147.6,226.95
Shorts,Cotton,2.0,85,170.0,167.92
Shorts,Denim,1.5,100,150.0,83.67
Shorts,Denim,2.0,108,216.0,264.2
Shorts,Denim,2.2,110,242.0,259.38
Shorts,Nylon,1.2,55,66.0,273.32
Shorts,Nylon,1.7,62,105.4,290.94
Shorts,Nylon,1.9,65,123.5,197.9
Shorts,Polyester,1.3,52,67.6,287.29
Shorts,Polyester,1.8,58,104.4,225.24
Shorts,Polyester,2.0,60,120.0,107.0
Shorts,Silk,1.4,150,210.0,388.95
Shorts,Silk,1.9,162,307.8,403.47
Shorts,Silk,2.1,165,346.5,307.22
Shorts,Wool,1.6,190,304.0,326.64
Shorts,Wool,2.1,200,420.0,410.92
Shorts,Wool,2.3,205,471.5,453.14
Tracksuit,Cotton,3.0,85,255.0,366.9
Tracksuit,Cotton,3.5,90,315.0,574.1
Tracksuit,Cotton,3.7,92,340.4,269.85
Tracksuit,Denim,3.2,108,345.6,466.09
Tracksuit,Denim,3.7,115,425.5,464.4
Tracksuit,Denim,3.9,118,460.2,510.44
Tracksuit,Nylon,2.8,68,190.4,185.69
Tracksuit,Nylon,3.3,72,237.6,269.4
Tracksuit,Nylon,3.5,75,262.5,380.16
Tracksuit,Polyester,2.9,62,179.8,214.09
Tracksuit,Polyester,3.4,68,231.2,340.61
Tracksuit,Polyester,3.6,70,252.0,279.21
Tracksuit,Silk,3.2,165,528.0,544.97
Tracksuit,Silk,3.8,175,665.0,696.51
Tracksuit,Silk,4.0,180,720.0,782.47
Tracksuit,Wool,3.4,210,714.0,804.01
Tracksuit,Wool,3.9,220,858.0,975.8
Tracksuit,Wool,4.1,225,922.5,938.73
Dress,Cotton,2.6,76,197.6,270.1
Dress,Cotton,3.7,96,355.2,462.91
Dress,Denim,2.8,106,296.8,204.81
Dress,Denim,3.8,120,456.0,560.01
Dress,Nylon,2.5,62,155.0,140.99
Dress,Nylon,3.6,82,295.2,398.26
Dress,Polyester,2.6,58,150.8,166.2
Dress,Polyester,3.7,74,273.8,200.59
Dress,Silk,2.9,152,440.8,434.97
Dress,Silk,3.9,188,733.2,760.83
Dress,Wool,3.2,205,656.0,721.6
Dress,Wool,3.9,235,916.5,954.25
Shirt,Cotton,1.4,70,98.0,243.19
Shirt,Cotton,2.3,90,207.0,179.61
Shirt,Denim,1.8,98,176.4,233.41
Shirt,Denim,2.5,114,285.0,309.61
Shirt,Nylon,1.4,52,72.8,73.61
Shirt,Nylon,2.1,66,138.6,260.18
Shirt,Polyester,1.5,52,78.0,50.0
Shirt,Polyester,2.4,66,158.4,240.38
Shirt,Silk,1.6,152,243.2,421.14
Shirt,Silk,2.3,172,395.6,425.06
Shirt,Wool,1.7,188,319.6,463.67
Shirt,Wool,2.6,212,551.2,571.94
Suit,Cotton,3.9,88,343.2,434.18
Suit,Cotton,4.9,108,529.2,696.99
Suit,Denim,4.2,112,470.4,315.87
Suit,Denim,5.1,122,622.2,665.06
Suit,Nylon,3.8,72,273.6,371.15
Suit,Nylon,4.5,82,369.0,377.68
Suit,Polyester,3.7,68,251.6,371.61
Suit,Polyester,4.6,76,349.6,352.02
Suit,Silk,4.4,172,756.8,852.33
Suit,Silk,5.2,188,977.6,1009.85
Suit,Wool,4.3,208,894.4,1096.53
Suit,Wool,5.4,235,1269.0,1329.2
Skirt,Cotton,2.1,78,163.8,274.28
Skirt,Cotton,2.8,90,252.0,284.92
Skirt,Denim,2.3,102,234.6,285.8
Skirt,Denim,3.0,114,342.0,419.36
Skirt,Nylon,2.0,62,124.0,261.77
Skirt,Nylon,2.6,70,182.0,241.23
Skirt,Polyester,2.1,58,121.8,163.67
Skirt,Polyester,2.7,66,178.2,437.83
Skirt,Silk,2.4,152,364.8,493.54
Skirt,Silk,3.2,172,550.4,631.8
Skirt,Wool,2.3,198,455.4,661.05
Skirt,Wool,3.0,216,648.0,711.2
Trousers,Cotton,1.8,80,144.0,50.0
Trousers,Cotton,2.4,90,216.0,212.92
Trousers,Denim,2.0,102,204.0,169.82
Trousers,Denim,2.7,114,307.8,375.27
Trousers,Nylon,1.8,62,111.6,160.99
Trousers,Nylon,2.4,68,163.2,362.72
Trousers,Polyester,1.9,58,110.2,243.87
Trousers,Polyester,2.5,66,165.0,183.46
Trousers,Silk,2.2,158,347.6,528.19
Trousers,Silk,2.8,172,481.6,353.73
Trousers,Wool,2.1,198,415.8,498.58
Trousers,Wool,2.8,218,610.4,754.58
Jacket,Cotton,2.7,82,221.4,193.81
Jacket,Cotton,3.7,98,362.6,525.92
Jacket,Denim,2.9,108,313.2,410.75
Jacket,Denim,3.8,118,448.4,437.06
Jacket,Nylon,2.6,70,182.0,329.75
Jacket,Nylon,3.4,78,265.2,521.56
Jacket,Polyester,2.7,68,183.6,245.33
Jacket,Polyester,3.5,76,266.0,387.73
Jacket,Silk,3.1,168,520.8,575.13
Jacket,Silk,3.8,182,691.6,654.46
Jacket,Wool,3.0,208,624.0,734.66
Jacket,Wool,3.8,228,866.4,871.79
Blouse,Cotton,1.3,75,97.5,154.9
Blouse,Cotton,1.8,86,154.8,140.75
Blouse,Denim,1.5,100,150.0,265.15
Blouse,Denim,2.1,110,231.0,310.18
Blouse,Nylon,1.2,58,69.6,235.9
